Tweet Content,Sentiment,Label,Preprocessed_Tweet
"@Eric_Cabahug MarcosJr. duwag. Ayaw umattend ng mga debate dahil hindi kayang idipensa ang sarili at pamilya nya. Kung ang sarili at pamilya nya nga ay hindi nya kayang ipagtanggol at panindigan, ang sambayanang Pilipino pa kaya? Gising Pilipinas!!! LENI ROBREDO FOR THE WIN!!! 🙏💗💗💗🙏",Negative,Hate,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'idipensa', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']"
"Badoy nyo, BADUY! HAHHAHHAHAHA Tunog putang ins. Tulad ni Imee Marcos, BongBong Marcos, Mocha Uson at putang si Jam Magno. https://t.co/6Tn4J8YxPb",Negative,Hate,"['badoy', 'nyo', 'baduy', 'hahhahhahaha', 'tunog', 'putang', 'ins', 'imee', 'mocha', 'uson', 'putang', 'si', 'jam', 'magno']"
Yung nawala yung Pldt nung Mag speech na si Bongbong Marcos. Teka lang?,Negative,Hate,"['yung', 'nawala', 'yung', 'pldt', 'nung', 'speech', 'si', 'teka', 'lang']"
"Robredo volunteers allegedly blocked from campaigning in Samar town https://t.co/zKKcZXL6a3 via @YouTube 

 EVIL ARM OF MARCOS IS STARTING TO SHOW?

WAIT TILL AFTER ELECTION IF THE FILIPINOS R STUPID ENOUGH TO VOTE 4 HIM.HAHAHA

VOTE LENI ROBREDO 4 PRES N KIKOPANGILINAN 4 VP",Negative,Hate,"['volunteers', 'allegedly', 'blocked', 'campaigning', 'samar', 'town', 'via', 'evil', 'arm', 'starting', 'show', 'wait', 'till', 'election', 'filipinos', 'stupid', 'enough', 'vote', 'him.hahaha', 'vote', 'pres', 'kikopangilinan', 'vp']"
The Marcos makeover: How history was rewritten to place a dictator's son on the cusp of power https://t.co/Oit7bxGeTk via @ABCaustralia,Negative,Hate,"['makeover', 'history', 'rewritten', 'place', ""dictator's"", 'cusp', 'power', 'via']"
"@bongbongmarcos will never sleep with the enemies at the gate,unlike Leni Robredo sleeping with the enemy is natural to her.",Negative,Hate,"['never', 'sleep', 'enemies', 'gate,unlike', 'sleeping', 'enemy', 'natural']"
"@LakasNgTimog Yes ! Tumaas ang level ng debate or Q &amp; A, kasi wala yung mga mapurol ang utak! 😅 😂🤣
Sayang si Ping Lacson.",Negative,Hate,"['yes', 'tumaas', 'level', 'debate', 'amp', 'kasi', 'wala', 'yung', 'mapurol', 'utak', 'sayang', 'si']"
I had the time before to read the wikipedia of Bongbong Marcos and I could conclude that even the wiki itself gave me a bad impression on him as a person and politician. https://t.co/91m1OajT4G,Negative,Hate,"['time', 'read', 'wikipedia', 'could', 'conclude', 'even', 'wiki', 'gave', 'bad', 'impression', 'person', 'politician']"
I believe and hc na kahit red flag si Lucien hindi siya bobo at tanga kaya Leni Robredo din president niya chour,Negative,Hate,"['believe', 'hc', 'flag', 'si', 'lucien', 'bobo', 'tanga', 'president', 'chour']"
"@_katesuarez excuse me, wala ka ngang makitang record na may nanakaw ni bongbong marcos, utak talangka ka beh",Negative,Hate,"['excuse', 'wala', 'ngang', 'makitang', 'record', 'nanakaw', 'utak', 'talangka', 'beh']"
bongbong marcos website is not a credible site eww #ashsgs,Negative,Hate,"['website', 'credible', 'site', 'eww']"
"AGREE.
sa nangyari kay Loren at sa kanyang anak,
okay lng na i.boto niyo si Isko, Manny, Ping or any Presendentiable

HUWAG lang si LENI ROBREDO at KIKO PANGILINAN na naging sanhi nitong lamat sa Pami.pamilya at kaibigan. https://t.co/ysUJGZOIJh",Negative,Hate,"['agree', 'nangyari', 'kay', 'loren', 'anak', 'okay', 'lng', 'i.boto', 'niyo', 'si', 'presendentiable', 'lang', 'si', 'kiko', 'pangilinan', 'sanhi', 'nitong', 'lamat', 'pami.pamilya', 'kaibigan']"
"oh eto naman galing MSN, baka sabihin niyo dilawan at biased ang rappler at kung ano ano pa

 https://t.co/KYy2DmhLH9",Negative,Hate,"['oh', 'eto', 'naman', 'galing', 'msn', 'baka', 'niyo', 'dilawan', 'biased', 'rappler']"
"""The youthfulness of the population helps obscure the truth of Marcos dictatorship. About 70% are under 40 years old. Marcos Sr. was forced out of office 36 years ago, well before much of the electorate was born. Few have a recollection of martial law.""  https://t.co/a58yd7ljAg",Negative,Hate,"['youthfulness', 'population', 'helps', 'obscure', 'truth', 'dictatorship', 'years', 'old', 'sr', 'forced', 'office', 'years', 'well', 'much', 'electorate', 'born', 'recollection', 'martial', 'law']"
"Si Bongbong ay yung classmate mo na parating absent sa class pero umaasang papasa dahil yung tatay ay yung principal ng school, or yung nagpatayo kuno ng school. #NeverAgain to Marcos's return to power.",Negative,Hate,"['si', 'yung', 'classmate', 'parating', 'absent', 'class', 'umaasang', 'papasa', 'yung', 'tatay', 'yung', 'principal', 'school', 'yung', 'nagpatayo', 'kuno', 'school', ""marcos's"", 'return', 'power']"
"@DeusXMachina14 MarcosJr. duwag. Ayaw umattend ng mga debate dahil hindi kayang ipagtanggol ang sarili at pamilya nya. Kung ang sarili at pamilya nya nga ay hindi nya kayang ipagtanggol at panindigan, ang sambayanang Pilipino pa kaya? Gising Pilipinas!!! LENI ROBREDO FOR THE WIN!!! 🙏💗💗💗🙏",Negative,Hate,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']"
"Robredo slams door on unification talks https://t.co/SphkNTGGL9 VP Leni will unite the Filipino people not the opportunist-bluffer Moreno aka domagoso, Pakyaw, Lacson,, duterte's zombies",Negative,Hate,"['slams', 'door', 'unification', 'talks', 'vp', 'unite', 'filipino', 'people', 'opportunist-bluffer', 'aka', 'pakyaw', ""duterte's"", 'zombies']"
"#ashsgs

BONGBONG MARCOS . COM WHAHSHSKAMMEMAKAKA
YOUTUBE O",Negative,Hate,"['com', 'whahshskammemakaka', 'youtube']"
"Kapag hindi nanalo si Leni Robredo ngayong election mangingibang bansa talaga ako, walang magandang buhay sa Pinas sa walang maayos na plataporma.",Negative,Hate,"['nanalo', 'si', 'ngayong', 'election', 'mangingibang', 'bansa', 'talaga', 'magandang', 'buhay', 'pinas', 'maayos', 'plataporma']"
Ping Lacson: Super Cop is a perfect biopic. It does the Wikipedia article style plot many biopics do since much of the film centers around Ping's big career moments. It's like a 90 minute dick measuring contest. The characters are all just details in service to Ping's image,Negative,Hate,"['super', 'cop', 'perfect', 'biopic', 'wikipedia', 'article', 'style', 'plot', 'many', 'biopics', 'since', 'much', 'film', 'centers', 'around', ""ping's"", 'big', 'career', 'moments', 'like', 'minute', 'dick', 'measuring', 'contest', 'characters', 'details', 'service', ""ping's"", 'image']"
Son of notorious dictator Ferdinand Marcos' is poised to win the Philippines presidential election https://t.co/QN7zXnyt0f,Negative,Hate,"['notorious', 'dictator', 'ferdinand', 'poised', 'win', 'philippines', 'presidential', 'election']"
"daming naging ableist nung unang lumabas to tas naglipana yung mga trolls at mockery. LOOK AT THIS NOW. daming naabot ng kantang to to recognize our Presidente, Leni Robredo and Bise Presidente, Kiko Pangilinan ! https://t.co/85snxOvQwJ",Negative,Hate,"['daming', 'ableist', 'nung', 'unang', 'lumabas', 'tas', 'naglipana', 'yung', 'trolls', 'mockery', 'look', 'daming', 'naabot', 'kantang', 'recognize', 'presidente', 'bise', 'presidente', 'kiko', 'pangilinan']"
Bongbong Marcos: The man attempting to revive a corrupt political dynasty https://t.co/G560fTUDvf #NEWS https://t.co/A8KrSQzwMd,Negative,Hate,"['attempting', 'revive', 'corrupt', 'political', 'dynasty']"
@DorjiTala @SilksworthPost Yup. We here in Philippines nearly got one in Leni Robredo. Good thing she won't win.,Negative,Hate,"['yup', 'philippines', 'nearly', 'got', 'one', 'good', 'thing', 'win']"
"@iamzciohakkai @maeannelosbanos @usapinglacson @iampinglacson @News5PH @onenewsph Nag shifttoping na po yung nka pink, wag po assuming basta pink lenlen na, yung asawa ko laging nka pink my nka salubong na lelen supoters sabi leni mo kayo mam nka tawa, sumagot si ismi ping lacson po kami sa pamilya boom sunod,",Negative,Hate,"['nag', 'shifttoping', 'po', 'yung', 'nka', 'pink', 'wag', 'po', 'assuming', 'basta', 'pink', 'lenlen', 'yung', 'asawa', 'laging', 'nka', 'pink', 'nka', 'salubong', 'lelen', 'supoters', 'kayo', 'mam', 'nka', 'tawa', 'sumagot', 'si', 'ismi', 'po', 'pamilya', 'boom', 'sunod']"
"Syempre, tutol na tutol ang isang Bongbong Marcos sa usapin ng peace talks at pagkilala sa rebolusyong nangyayari sa ating bansa.

PALIBHASA, ANG AMA NIYANG DIKTADOR AT MAMAMATAY-TAO ANG ISA SA MGA NAGTULAK SA MGA MAMAMAYAN UPANG HUMAWAK NG ARMAS AT DEPENSAHAN ANG MASANG API. https://t.co/imsByDEyqg",Negative,Hate,"['syempre', 'tutol', 'tutol', 'usapin', 'peace', 'talks', 'pagkilala', 'rebolusyong', 'nangyayari', 'bansa', 'palibhasa', 'ama', 'diktador', 'mamamatay-tao', 'nagtulak', 'mamamayan', 'upang', 'humawak', 'armas', 'depensahan', 'masang', 'api']"
"ang mali kasi sa inyo iniisip niyo na porque si leni iboboto namen na dilawan na kami lahat, no we’re not WE ARE PRO PEOPLE hindi namin sinasanta si leni robredo tandaan niyo yan #halalanspace",Negative,Hate,"['mali', 'kasi', 'inyo', 'iniisip', 'niyo', 'porque', 'si', 'iboboto', 'namen', 'dilawan', ""we're"", 'pro', 'people', 'sinasanta', 'si', 'tandaan', 'niyo', 'yan']"
"Got dammit, one thing I hope I don't see is my country's name making the headlines in International News

What are the headlines? ""PH Election month, one of the candidates is Bongbong Marcos the son of Ferdinand Marcos the Dictator of Dekada 70s"" as what news outlets keep saying",Negative,Hate,"['got', 'dammit', 'one', 'thing', 'hope', 'see', ""country's"", 'name', 'making', 'headlines', 'international', 'news', 'headlines', 'ph', 'election', 'month', 'one', 'candidates', 'ferdinand', 'dictator', 'dekada', 'news', 'outlets', 'keep', 'saying']"
"@ANCALERTS @IskoMoreno @lenirobredo @_katrinadomingo how can u put up with this shit talker Ma'am @GutocSamira? isa sya sa tumatawa at tinatawag n nainidoro kayo.ang mga tinatawag nyang yellowtards ay mga pilipino na sawa na sa dictadurya,sa paghihirap, sa pangaapi. Leni Robredo runs for us Filipinos. not ths TRAPO that u run with",Negative,Hate,"['put', 'shit', 'talker', ""ma'am"", 'sya', 'tumatawa', 'tinatawag', 'nainidoro', 'kayo.ang', 'tinatawag', 'nyang', 'yellowtards', 'pilipino', 'sawa', 'dictadurya,sa', 'paghihirap', 'pangaapi', 'runs', 'us', 'filipinos', 'ths', 'trapo', 'run']"
"sure, hindi nyo kayang pabagsakin ang isang VP Leni Robredo. Magsama sama pa ang UNITHIEVES sa paggawa ng kwento patuloy na lalabas ung totoo. Kung ako sa inyo bigyan nyo ng utak at puso si Dayunyor. Wag puro pavictim at paninira. Babalik lahat ng yan sa inyo.",Negative,Hate,"['sure', 'nyo', 'kayang', 'pabagsakin', 'vp', 'magsama', 'sama', 'unithieves', 'kwento', 'patuloy', 'lalabas', 'ung', 'totoo', 'inyo', 'bigyan', 'nyo', 'utak', 'puso', 'si', 'dayunyor', 'wag', 'puro', 'pavictim', 'paninira', 'babalik', 'yan', 'inyo']"
"Habang nagtatanghalian nanunuod ako ng tiktok tapos narinig nila pangalan ni Leni. 
Lolo 1: Ah, mahina yan si Leni di yan mananalo.
Lolo 2: Basta ako Marcos, Bongbong. 
Ako na Bakla: Ako Pink, Leni Robredo. Hindi mag nanakaw, at never magnanakaw. 🎀😚
Lolo 1 &amp; 2: 👁👄👁",Negative,Hate,"['nagtatanghalian', 'nanunuod', 'tiktok', 'tapos', 'narinig', 'pangalan', 'lolo', 'ah', 'mahina', 'yan', 'si', 'di', 'yan', 'mananalo', 'lolo', 'basta', 'bakla', 'pink', 'nanakaw', 'never', 'magnanakaw', 'lolo', 'amp']"
"@sosyolohija MarcosJr. duwag. Ayaw umattend ng mga debate dahil hindi kayang ipagtanggol ang sarili at pamilya nya. Kung ang sarili at pamilya nya nga ay hindi nya kayang ipagtanggol at panindigan, ang sambayanang Pilipino pa kaya? Gising Pilipinas!!! LENI ROBREDO FOR THE WIN!!! 🙏💗💗💗🙏",Negative,Hate,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']"
why pink? i see it everywhere — elections soon :') frontrunner is the son of a dictator who kiIIed &amp; tortured thousands of filipinos. his campaign is fueled by disinformation &amp; they've stolen 203B from us. our best bet is leni robredo (represented by pink) https://t.co/cZ9Zb3NHsp,Negative,Hate,"['pink', 'see', 'everywhere', 'elections', 'soon', 'frontrunner', 'dictator', 'kiiied', 'amp', 'tortured', 'thousands', 'filipinos', 'campaign', 'fueled', 'disinformation', 'amp', ""they've"", 'stolen', 'us', 'best', 'bet', 'represented', 'pink']"
Class ABC ang nagpanalo kay tanda. Sana naman tayo din ang magpapanalo kay Leni Robredo sa #Halalan2022 #LabanLeni2022,Negative,Hate,"['class', 'abc', 'nagpanalo', 'kay', 'tanda', 'sana', 'naman', 'magpapanalo', 'kay']"
"The empty podium at what should have been a chance for Bongbong Marcos to showcase his ideas and plans is the defining image of Baby M’s leadership. 

#CNNPHPresidentialDebate",Negative,Hate,"['empty', 'podium', 'chance', 'showcase', 'ideas', 'plans', 'defining', 'image', 'baby', ""m's"", 'leadership']"
"Kaya siguro hinahanap ni luchi cruz si Bongbong Marcos para makakuha ng ganung karaming viewers yung debate show nila.

51k versus less than 10k. 😁

-ctto https://t.co/mFKGuVaYy6",Negative,Hate,"['siguro', 'hinahanap', 'luchi', 'cruz', 'si', 'makakuha', 'ganung', 'karaming', 'viewers', 'yung', 'debate', 'show', 'versus', 'less', 'ctto']"
Talaga ba Jam Magno? Kaya pala idol mo din si Leni Robredo 🤮🤡 komedyaaaaaaa hahahaa #LabanLeni2022 #LeniforPresident2022 #LetLeniLead2022 https://t.co/hBYrwAWHSL,Negative,Hate,"['talaga', 'ba', 'jam', 'magno', 'pala', 'idol', 'si', 'komedyaaaaaaa', 'hahahaa']"
"@JackDnlCarlos Leni nyo tropa ni Joma Sison, bayad pa ni Butch Robredo, wala pang drug test result, kabit pa ni Bolet Banal.",Negative,Hate,"['nyo', 'tropa', 'joma', 'sison', 'bayad', 'butch', 'wala', 'pang', 'drug', 'test', 'result', 'kabit', 'bolet', 'banal']"
Oh Blengblong ILABAS MO RAW! https://t.co/5FNi1gjzdw,Negative,Hate,"['oh', 'blengblong', 'ilabas', 'raw']"
"Usually the more we research Leni Robredo it turns out that she is the worst Vice President of the Philippines..
#KayLeniTalo 
#KayLeniPatayTayo https://t.co/OWBcS6q7KF",Negative,Hate,"['usually', 'research', 'turns', 'worst', 'vice', 'president', 'philippines']"
i pray for my fellow filipinos to find that leni robredo is the president and that the country may no longer need to look towards those with corrupt mindsets for governance. #LetLeniLead,Negative,Hate,"['pray', 'fellow', 'filipinos', 'find', 'president', 'country', 'longer', 'need', 'look', 'towards', 'corrupt', 'mindsets', 'governance']"
@BeRNaRdlovesU @iampinglacson Kaya nga eh. Tapos di pa rin si Ping Lacson ang first choice nila,Negative,Hate,"['nga', 'eh', 'tapos', 'di', 'rin', 'si', 'first', 'choice']"
"Hay grabe ka ISKO MORENO DOMAGOSO,
Wag na wag mong ilalabas ang ugaling #ISKOwater

Walang ginagawa sayo si Leni",Negative,Hate,"['hay', 'grabe', 'wag', 'wag', 'mong', 'ilalabas', 'ugaling', 'sayo', 'si']"
"@jseongfield @imwinwin01 So ganyan ka nalang? Kontra sa sasabihin ni BBM kase wala yung amo ng mga Kakambing? Can u imagine what will leni robredo answer that question, halatang di kayang sagutin😆🤭✌",Negative,Hate,"['ganyan', 'nalang', 'kontra', 'sasabihin', 'bbm', 'kase', 'wala', 'yung', 'amo', 'kakambing', 'imagine', 'answer', 'question', 'halatang', 'di', 'kayang']"
Ang reason daw kung bakit hindi si VP Leni ang inendorse dahil nakasaad daw sa Bible na dapat lalaki ang mamuno. Then why not consider Ping Lacson? 🤔 Mas qualified pa siya kesa kay Marcos. 😮‍💨,Negative,Hate,"['reason', 'daw', 'si', 'vp', 'inendorse', 'nakasaad', 'daw', 'bible', 'lalaki', 'mamuno', 'consider', 'mas', 'qualified', 'kesa', 'kay']"
"Sorry sa mga religious LBM supporters, favourite ako ni Lord. Kaya magiging President si Leni Robredo 😌",Negative,Hate,"['sorry', 'religious', 'lbm', 'supporters', 'favourite', 'lord', 'magiging', 'president', 'si']"
"ping lacson diba red tagger ka, interesado ako sa sasabihin mo lmao #PiliPinasDebates2022",Negative,Hate,"['diba', 'tagger', 'interesado', 'sasabihin', 'lmao']"
@meluvtaeuwu BBM stands for Bongbong Marcos. He’s the son of the late dictator in the Philippines and is currently running for President here,Negative,Hate,"['bbm', 'stands', ""he's"", 'late', 'dictator', 'philippines', 'currently', 'running', 'president']"
Lowest of the low: Rappler allowing Lorenzo to condemn &amp; disown Loren through an op-ed. This is the effect of Yellow indoctrination &amp; a campaign founded mostly on hate. I am #ABL because people divide &amp; destroy families in the name of a mediocre candidate called Leni Robredo.,Negative,Hate,"['lowest', 'low', 'rappler', 'allowing', 'lorenzo', 'condemn', 'amp', 'disown', 'loren', 'op-ed', 'effect', 'yellow', 'indoctrination', 'amp', 'campaign', 'founded', 'mostly', 'hate', 'people', 'divide', 'amp', 'destroy', 'families', 'name', 'mediocre', 'candidate', 'called']"
"@eicvsfascism They even bullied Leni Robredo for how many years. I, myself, nabubully din as kakampink, even my 8yo daughter nabubully sa skul dahil sa pagsusuot ng pink!",Negative,Hate,"['even', 'bullied', 'many', 'years', 'nabubully', 'kakampink', 'even', 'daughter', 'nabubully', 'skul', 'pagsusuot', 'pink']"
"@hitmanrivo Si Leni ay nanalo sa Election protest and thanks kay Leonen and Caquioa, both Noynoy appointess, but malinis, WEH!

https://t.co/67lsSiA7dn

https://t.co/Zd40ms9sfd

At madumi pa ang balak na pinag-wiwidraw yung mga kalaban.

https://t.co/EymxkrUpYB",Negative,Hate,"['si', 'nanalo', 'election', 'protest', 'thanks', 'kay', 'leonen', 'caquioa', 'noynoy', 'appointess', 'malinis', 'weh', 'madumi', 'balak', 'pinag-wiwidraw', 'yung', 'kalaban']"
Nakucute-tan talaga ako kay Ping Lacson. As in pwede ko siyang maging crush kung hindi lang siya TRAPO 😍😍😍,Negative,Hate,"['nakucute-tan', 'talaga', 'kay', 'pwede', 'siyang', 'crush', 'lang', 'trapo']"
We were just talking about your leni robredo and i didn't said anything i even compliment her but when i said to you na bbm ako u PULLED THE FUCKING MAGNANAKAW CARD  no offense but leni is educated kakampinks lang ang hindi loveyah!!,Negative,Hate,"['talking', 'said', 'anything', 'even', 'compliment', 'said', 'bbm', 'pulled', 'fucking', 'magnanakaw', 'card', 'offense', 'educated', 'kakampinks', 'lang', 'loveyah']"
Hirosii's argument screams misogyny not valid information. The thing here is that you can not defend Bongbong Marcos without blabbering unethical arguments lol.,Negative,Hate,"[""hirosii's"", 'argument', 'screams', 'misogyny', 'valid', 'information', 'thing', 'defend', 'without', 'blabbering', 'unethical', 'arguments', 'lol']"
"lacson? eh takot at tahimik yan nung termino ni duturtle 🤣

si MADAM PRESIDENT LENI ROBREDO nakipagbardagulan kay duturtle ng walang takot

#AngatBuhayLahat
#LetLeniLead2022 #LeniKikoAllTheWay https://t.co/980D4yTEny",Negative,Hate,"['eh', 'takot', 'tahimik', 'yan', 'nung', 'termino', 'duturtle', 'si', 'madam', 'president', 'nakipagbardagulan', 'kay', 'duturtle', 'takot']"
@AbdelazizJul AY GAGO PING LACSON DIAY GAGO KA 😭,Negative,Hate,"['gago', 'diay', 'gago']"
@pusanggala007 Hahahahahahaha boba Leni Lugaw Robredo Lutang Fake VP✌️👊🇵🇭,Negative,Hate,"['hahahahahahaha', 'boba', 'lugaw', 'lutang', 'fake']"
"My vote for Bongbong Marcos on May 9, 2022 is also my protest vote against the woman who cheated him towards vice-presidency last 2016. #7Marcos #17thPresidentMarcos",Negative,Hate,"['vote', 'also', 'protest', 'vote', 'woman', 'cheated', 'towards', 'vice-presidency', 'last']"
@Lewiiinn @_Chdwynhrmn TANGA TALAGA ITONG DDS JAM MAGNO NA ITO..2016 DILAWAN LENI ROBREDO WON..noon pa man naipanalo na ni @lenirobredo ang pagiging dilawan nya...itong mga ddshit na ito dapat mapalitan utak nilang mapurol.,Negative,Hate,"['tanga', 'talaga', 'itong', 'dds', 'jam', 'magno', 'dilawan', 'won..noon', 'naipanalo', 'pagiging', 'dilawan', 'nya...itong', 'ddshit', 'mapalitan', 'utak', 'mapurol']"
"@elmer444love @rowena_guanzon @P3PWD_PL As a Democratic nation, we should preach for equality and anti-discrimination to all religions within the country. Leni Robredo is just a bad egg for a democratic nation because there are rumors and info that she is connected to the NPA because of her connection with De Lima.",Negative,Hate,"['democratic', 'nation', 'preach', 'equality', 'anti-discrimination', 'religions', 'within', 'country', 'bad', 'egg', 'democratic', 'nation', 'rumors', 'info', 'connected', 'npa', 'connection']"
"The dictator’s son was given ample opportunity to prove his accusations of deception. He proved nothing.

15-0; Vice President Leni Robredo legitimately won.#LeniKiko2022 https://t.co/WWaJJeeQ7y",Negative,Hate,"[""dictator's"", 'given', 'ample', 'opportunity', 'prove', 'accusations', 'deception', 'proved', 'nothing', 'vice', 'president', 'legitimately', 'won.#lenikiko']"
It’s just stupid bringing on in on that money stolen by Marcos! Well that was Ferdinand not Bongbong? And are this nagmamalinis people are true and honest themselves? I just hope BBM will win,Negative,Hate,"['stupid', 'bringing', 'money', 'stolen', 'well', 'ferdinand', 'nagmamalinis', 'people', 'true', 'honest', 'hope', 'bbm', 'win']"
"VICTIMS OF MARTIAL LAW - MISMONG MARCOSES MAY KASALANAN

SAF44 - KASALANAN NI LENI ROBREDO

MINDSET BA MINDSET??

#KpopstansinREDandGREEN",Negative,Hate,"['victims', 'martial', 'law', 'mismong', 'marcoses', 'kasalanan', 'saf', 'kasalanan', 'mindset', 'ba', 'mindset']"
"Leni Robredo, puppet or plotter? https://t.co/fjko0iSJIp",Negative,Hate,"['puppet', 'plotter']"
"@War_Takes Some thin parallels, but apparently Ferdinand &amp; Imelda Marcos's son has successfully rewritten history using social media brain worms to cast the dictatorship as a golden era and may be elected president soon.
https://t.co/deKAULe2Ux",Negative,Hate,"['thin', 'parallels', 'apparently', 'ferdinand', 'amp', 'imelda', ""marcos's"", 'successfully', 'rewritten', 'history', 'using', 'social', 'media', 'brain', 'worms', 'cast', 'dictatorship', 'golden', 'era', 'elected', 'president', 'soon']"
"Ayuda para sa lahat ni Aling Leni Robredo
A)
1. Lugaw na walang kahit isang itlog.
2. Isang platong anemic na Spaghetti.
3. Chicharon na walang kasamang kahit suka.
4. Sampong pirasong Nipa para sa aso ninyo https://t.co/s1wks5IM9h",Negative,Hate,"['ayuda', 'aling', 'lugaw', 'itlog', 'platong', 'anemic', 'spaghetti', 'chicharon', 'kasamang', 'suka', 'sampong', 'pirasong', 'nipa', 'aso', 'ninyo']"
